Latin name, Botanical family and Growth habit	Vernacular name(s)	Part(s) used, Use(s) and Reference(s)
Rubiaceae, Herb		
Galium trifidum L.	small bedstraw (Eng.); gaillet trifide (Fr.); Ojîbwe'owe'cûwûn (Ojibwa)	Tea used for skin diseases such as eczema, ringworm and scrofula [Ojibwa: 87].
Rubiaceae, Vine		
Gaultheria hispidula (L.) Muhl. ex Bigelow	creeping snowberry, moxieplum (Eng.); petit thé (Fr.); wabos'obûgons' (Ojibwa)	Leaves: Tea used as a tonic [Algonquin: 69]. Used on cuts, burns, against tapeworms and to treat venereal diseases [Ojibwa: 19]. Boiled and taken for congested chest [Cree: 80]. Herbal water taken for fever and high blood pressure. Boiled and given to babies as a soother during teething [Cree: 93].
Ericaceae, Shrub		Fruits: Used in diabetes [Cree: 82, 83].
Gaultheria procumbens L.	teaberry, checkerberry, wintergreen (Eng.); thé des bois, gaulthérie couchée (Fr.); pileuminan (Innu); pirebow (Atikamekw); winsibog, wînîsi'bûgûd (Ojibwa)	Mixed with mayapple, wild sarsaparilla, wild spikenard, burdock, Taraxacum officinale, prickly ash, black berry, sassafras, prince's pine, and black birch in a decoction used as a "spring and fall medicine" [Ojibwa: 85]. Steeped and taken as a blood flow regulator to prevent heart attacks [Mi'kmaq: 62]. Tea used in colds, headaches, and general discomforts [Atikamekw: 73; Algonquin: 69].
Ericaceae, Shrub		Leaves: Used for colds, chewed to improve breathing [Algonquin: 55]. Tea used to cure rheumatism and as a tonic [Ojibwa: 87]. Used to make a chest plaster to treat cold [Atikamekw: 73].
		Fruits: Used as a stimulant and diuretic [Algonquin: 55]
Geocaulon lividum (Richardson) Fernald	northern comandra, false toadflax (Eng.); comandre livide (Fr.); sasjie (Chipewyan)	Medicinal plant [Cree: 42].
Syn.: Comandra lividum Richardson		Fruits: Used for persistent chest trouble [Dene: 13; Chipewyan: 92].
Santalaceae, Herb		
Geranium maculatum L.	wild geranium, cranesbill (Eng.); géranium maculé (Fr.); be'cigodji'bigûk, pesigunk, o'sawaskwîni's (Ojibwa)	Roots: Steeped and used for diarrhoea [Ojibwa: 85]. Powdered and put into sore mouth [Ojibwa: 47, 87]. Used to treat flux [Ojibwa: 87].
Geraniaceae, Herb		Rhizomes: Used as an intestinal astringent [Ojibwa: 44]. 
Geum aleppicum Jacq.	Alep avens (Eng.); benoîte d'Alep (Fr.); makwanimiga'kil (Maletice); kākwīthitamōwask (Cree); ne'bone'ankwe'âk (Ojibwa)	Roots: Steeped and used for cough and cold [Maletice: 65]. Weak decoction taken internally for cough and soreness in the chest [Ojibwa: 84]. Decoction alone or mixed with other plants given to treat teething pain. Decoction used for sore tooth, sore throat, or to induce sweating [Cree: 95]. 
Syn.: G. strictum Aiton		
Rosaceae, Herb		
Geum canadense Jacq.	white avens, Canada avens (Eng.); benoîte du Canada (Fr.)	Roots: Used in "female weakness" [Ojibwa: 47].
Rosaceae, Herb		
Geum macrophyllum Willd.	large-leaved avens (Eng.); benoîte à grande feuilles (Fr.); kākwīthitamōwask, saw-gee-too-wusk (Cree); wica'wasa'konek (Ojibwa)	Used as a "female remedy" [Ojibwa: 87] or as component of a compound medicine [Metis: 13]. 
Rosaceae, Herb		Roots: Decoction used in combination with other plants to treat teething pain [Cree: 95]. 
Geum rivale L.	water avens, chocolate root (Eng.); benoîte des ruisseaux (Fr.); kinipagwusk (Cree); egwitkil (Malecite); mikotcepik (Atikamekw)	Roots: Strong decoction given in dysentery, cough and cold, particularly for children [Algonquians: 63]. Steeped and given in diarrhoea [Malecite: 65]. Boiled four times and the fourth water is used to treat blood spitting [Atikamekw: 73]. Tea used to facilitate childbirth [Cree, Metis: 13]. 
Rosaceae, Herb		
Geum triflorum Pursh	prairie smoke (Eng.); benoîte à trois fleurs (Fr.); ne'baneya'nekweäg' (Ojibwa)	Roots: Used as a tonic after childbirth [Ojibwa: 19]. Decoction taken in indigestion. Dried and chewed as a tonic and stimulant [Ojibwa: 47]. 
Syn.: Sieversia ciliata (Pursh) G. Don		
Rosaceae, Herb		
Glyceria canadensis (Michx.) Trin.	rattlesnake grass, Canada managrass (Eng.); glycérie du Canada (Fr.); anagon'wûck (Ojibwa)	Roots: Used as a "female remedy" [Ojibwa: 87].
Poaceae, Herb		
Gnaphalium sp.	gnaphale (Fr.)	Decoction used for coughing and consumption [Algonquians: 63].
Asteraceae, Herb		
Grindelia squarrosa (Pursh) Dunal.	curly-cup gumweed (Eng.); herbe à gomme commune (Fr.); kāpasakwāk maskīhkīh, kah pus kun askik (Cree)	Used in gonorrhoea and to prevent pregnancy [Cree: 76].
Asteraceae, Herb		Flowers: Tea used to treat migraines and venereal diseases [Metis: 13]. 

Gymnocarpium disjunctum (Rupr.) Chin	oak fern (Eng.); dryoptéride disjointe (Fr.)	Used to treat cholera [Abenaki: 67].
Syn.: Dryopteris disjuncta (Rupr.) Morton		
Dryopteridaceae, Herb		
Gymnocarpium dryopteris (L.) Newman	western oak fern (Eng.); gymnocarpe du chêne (Fr.); oraganiockokuk (Atikamekw)	Leaves: Crushed and rubbed on face to prevent or to sooth mosquito bite [Atikamekw: 73].
Syn.: Dryopteris linnaeana C. Chr.		
Dryopteridaceae, Herb		
Hamamelis virginiana L.	witch hazel (Eng.); hamamélis de Virginie, café du diable (Fr.); nsakemižins (Ojibwa)	Inner bark: Used as an emetic, especially in cases of poisoning. Steeped and strained as a lotion for skin trouble, and as a wash for sore eyes [Ojibwa: 85]. 
Hamamelidaceae, Tree		Bark: Infusion used for bruises, piles and hemorrhages [44].
Hedysarum alpinum L. Syn.: H. alpinum L. ssp. americanum (Michx.) Fedtsch.	alpine hedysarum, bear root, Indian carrots (Eng.); sainfoin alpin (Fr.); treh (Dene)	Roots: Eaten raw or with duck or fish oil to increase appetite or to relieve diarrhoea [Dene: 99]. Burned and smoke used to relieve sore eyes [Dene: 98].
Fabaceae, Herb		
Helenium autumnale L.	sneezeweed, swamp sunflower (Eng.); hélénie automnale (Fr.); cācāmōsikan (Cree)	Flowers: Dried, crumbled and inhaled to trigger sneezing in order to treat a headache [Cree: 13, 96]. 
Asteraceae, Herb		
Syn: Helenium autumnale L. var. montanum (Nutt.) Fernald		
Asteraceae, Herb		
Helianthus occidentalis Riddell	sunflower (Eng.); pŭkite'wŭkbŏkuns' (Ojibwa)	Roots: Crushed and applied to bruises and contusions [Ojibwa: 84]. 
Asteraceae, Herb		
Heliopsis helianthoides (L.) Sweet var. scabra (Dunal) Fernald	ox-eye-daisy, false sunflower (Eng.); héliopsis faux-hélianthe (Fr.); gi'zĭso'bûgons' (Ojibwa)	Roots: Used as a tonic [Ojibwa: 47]. 
Syn.: H. scabra Dunal		
Asteraceae, Herb		
Hepatica nobilis Schreb. var. obtusa (Pursh) Steyerm.	hepatica, American liverleaf (Eng.); hépatique d'Amérique (Fr.); gabisan'ikeäg' (Ojibwa)	Roots: Decoction taken internally in convulsions [Ojibwa: 47].
Syn.: H. americana (DC.) Ker Gawl.		
Ranunculaceae, Herb		
Hepatica triloba Chaix.	hepatica (Eng.); hépatique trilobée (Fr.); pne-uzidin, pnen-obogons (Ojibwa)	Used as an ingredient in poultices for inflamations and bruises, and also as a remedy for liver ailments [Ojibwa: 85]. 
Ranunculaceae, Herb		Roots: Mixed with sweet cicely (Osmorhiza longistylis) and tall anemone (Anemone virginiana) and boiled to make a remedy for amenorrhoea [Ojibwa: 85].
Heracleum maximum Bartram	cow parsnip, indian rhubarb (Eng.); berce très grande (Fr.); pukwanatik, pakwānāhtik, askīskatask, askīwīskātask, ōskātaskwistikwān, piygwanā(h)tik, pick quan ah tick (Cree); sewapo'kil (Malecite); bi'bîgwe'wûnûck (Ojibwa); uîpîtakâshku tshîtshue(Montagnais)	Steeped with Calmus and given in cholera [Malecite: 65]. Dried, chopped, and rubbed on aching or sore body parts. Cooled decoction used to bathe sore body parts, and the decoction can be drunk for colds [Cree: 13]. Used to keep sickness away and in combating cold and/or influenza [Mi'kmaq: 62].
Syn.: H. lanatum Michx.		Roots: Fresh or dried root applied to an aching tooth [Cree: 13, 76, 93]. Chewed and juice swallowed to treat tooth ache [Cree: 96]. Part of a cancer medicine. Grated and mixed with warm water to make a paste applied to swollen legs. [Metis: 13]. Tea used for throat pain [Montagnais: 71]. Fresh root pounded and applied to sores as a poultice [Ojibwa: 87]. Powdered and made into a paste applied to boils, swellings and chancre [Cree: 76]. Mixed with other plants (Nuphar variegatum, Acorus calamus) to make a poultice applied to painful limbs or used for headache [Cree: 95]. Steeped and taken as a tea for blood purification, to prevent and cure smallpox, and in consumption [Malecite: 65]. Chewed dry to treat sore throat, decoction used to gargle, and poultice applied to boils and sores [Ojibwa: 47, 88]. Decoction used for arthritis [Cree: 13, 80]. Boiled and used to clean skin infections [Cree: 80]. Decoction drunk as a cough medicine [Dene: 98].
Apiaceae, Herb		Roots and leaves: Steam from boiling inhaled to purify the body [Cree: 13].
		Roots and flowers: Dried, pounded and made into a poultice used in boils [Ojibwa: 47].
Heuchera richardsonii R. Br.	Richardson's alumroot (Eng.); heuchère de Richardson (Fr.); pithīkōcīpihk (Cree); ciwade'imĭn'ĭbûg (Ojibwa)	Roots: Chewed or made into a decoction taken in diarrhoea. Infusion used to wash sore eyes [Cree: 95]. Dried, chewed and the juice swallowed in stomach pain. Chewed in sore mouth. Decoction used to treat sore eyes [Ojibwa: 47].
Saxifragaceae, Herb		
Hierochloe odorata (L.) Beauv.	sweet-grass, vanilla grass (Eng.); hiérochloé odorante, foin d'odeur, herbe sainte (Fr.); wehkuskwa, wekus (Cree)	Decoction given to facilitate childbirth for young mothers [Cree: 13]. 
Poaceae, Herb		
Hordeum jubatum L.	squirrel-tail (Eng.); orge agréable (Fr.); a'djidamo'wano (Ojibwa)	Roots: Dried, pounded, put in a moist cloth with warm water and sopped on the eyes to treat sty or inflammation of lids [Ojibwa: 47]. 
Poaceae, Herb		
Hudsonia tomentosa Nutt.	ground berry, woolly hudsonia (Eng.); hudsonie tomenteuse (Fr.)	Whole plant: Boiled and liquid drunk to purge women blood [Algonquians: 63].
Cestaceae, Shrub		
Humulus lupulus L.	hop (Eng.); houblon commun (Fr.); jiwî'cgoni'bûg (Ojibwa)	Tea acts like saleratus on the system, increasing the excresence of urine and reducing its acidity [Ojibwa: 87]. 
Cannabaceae, Vine		
Hydrophyllum virginianum L.	eastern waterleaf (Eng.); hydrophylle de Virginie (Fr.); hunkite'wagūŭs', ne'bîneankwe'ûk (Ojibwa)	Roots: Boiled and taken for chest or back pain [Ojibwa: 84; 44]. Used to keep flux in check [Ojibwa: 87]. 
Hydrophyllaceae, Herb		
*Hylotelephium telephium (L.) H. Ohba ssp. telephium	garden stonecrop, live-forever (Eng.); orpin pourpre (Fr.); mediawigagil (Malecite)	Leaves: Poultice used in boils [Malecite: 65].
Syn.: Sedum telephium L.		
Crassulaceae, Herb		
Hymenoxys richardsonii (Hook.) Cockerell.	Richardon's bitterweed, Colorado rubber-plant (Eng.); hymenoxys de Richardson (Fr.)	Roots: Ground into a powder and used as a snuff to induce sneezing to clear head and relieve head colds and headaches [Cree: 13].
Asteraceae, Herb		
*Hypericum perforatum L.	St. John's wort (Eng.); millepertuis commun (Fr.)	Boiled to make a cough medicine [Algonquians: 63].
Clusiaceae, Herb		
Ilex mucronata (L.) Powell, Savolainen & Andrews	mountain holly (Eng.); faux houx, némopanthe mucroné (Fr.); mîckimînû'nîmîc (Ojibwa); wudjiga'nimus (Malecite); kâmatshakâshit shakâu (Montagnais)	Fruits: Medicinal [Ojibwa: 86].
Syn.: Nemopanthus mucronatus (L.) Loes.		Roots: Steeped and taken in gravel [Malecite: 65]. 
Aquifoliaceae, Tree		Leaves: Used to restore lost appetite and to strengthen the stomach [Cree: 44]. 
		Inner bark: Scraped in water, boiled and paste applied to head to reduce pain [Montagnais: 71].
Ilex verticillata (L.) Gray	winterberry (Eng.); houx verticillé (Fr.); awe'nîsibûg (Ojibwa)	Bark: Used in diarrhoea [Ojibwa: 86].
Aquifoliaceae, Tree		
Impatiens capensis Meerb.	spotted jewelweed, Cape touch-me-not (Eng.); impatiente du Cap (Fr.); pesgide'skil (Malecite); wesa'wûs ga'skonêk (Ojibwa)	Steeped and taken to cure jaundice [Malecite: 65]. Fresh juice rubbed on head to cure headache [Ojibwa: 87]. 
Syn.: I. biflora Walter		Stems: Bruised and applied to cure rash or other skin troubles [Chippewa: 85]. 
Balsaminaceae, Herb		Leaves: Steeped to make a medicinal tea [Ojibwa: 87].
Impatiens pallida Nutt.	pale jewelweed, pale touch-me-not (Eng.); impatiente pâle (Fr.) 	Stems: Bruised and applied to cure rash or other skin troubles [Ojibwa: 85].
Balsaminaceae, Herb		
Inonotus obliquus (Ach. Ex Pers.) Pil.	tinder fungus (Eng.); polypore oblique (Fr.); pōsākan, wīsakīchak omīkī, wīsakecak omikīh (Cree)	Decoction drunk to treat heart conditions or mixed with other plants in a medicinal tea for high blood pressure. Soaked overnight and given to help an underweight child gain weight [Cree: 13]. Placed on the skin and burned to produce a counter-irritation in the treatment of arthritis [Cree: 95].
Hymenochaetaceae, Fungi		

*Inula helenium L.	elecampane (Eng.); inule aulnée, elecampane (Fr.) minsisimatek (Malecite); 	Roots: Powdered and snuffed to treat headache. Steeped and taken in heart trouble [Malecite: 65]. 
Asteraceae, Herb		
Iris versicolor L.	muskrat, blue flag, (Eng.); iris versicolore (Fr.); na'bûkûck (Ojibwa); wa-dusk-skwamuk (Atikamekw)	General medicine [Mi'kmaq: 62]. Used as a purgative [Cree: 42]. Remedy for gastric disturbances [44]. Steepped with Scirpus rubrotinctus and gargle in sore throat [Malecite: 65]. 
Iridaceae, Herb		Whole plant: Steamed to keep diseases away. Crushed and mixed with flour to make a poultice placed on painful body parts [Algonquians: 63]. 
		Roots: Pounded to a pulp laid on a platain leaf and applied to serofulous sores [Chippewa: 85]. Steeped and used for cholera [Algonquians: 63; Chippewa: 85]. Powdered, mixed with warm water and given to infants to relieve stomach cramps, belching or indigestion [Mi'kmaq: 62]. Pounded and applied to burns and wounds [Atikamekw: 73]. Poultice applied to swellings [Ojibwa: 47]. Boiled in water and taken as physic and emetic [Ojibwa: 87]. 
Juglans cinerea L.	butternut (Eng.); noyer cendré (Fr.); pcgacnmus (Malecite)	Sap: Boiled down until thick and waxy, mixed with cornmeal, and taken as a cathartic [Chippewa: 85]. 
Juglandaceae, Tree		Bark: Steeped and taken before breakfast as purgative [Malecite: 65].
Juniperus communis L.	juniper (Eng.); genévrier commun, genièvre (Fr.); kawins (Chippewa); kahkakew-mina, kahkakewatik, ahaseminanatik, kakakìmìniatik, kākākīmīnātik, kākākīwīmināhtik, māsakiys (Cree); datsánjíé (Chipewyan); tuna'liguk'(malecite); ga'gawan'dagisĭd (Ojibwa); kâkâtshiminânakashî (Montagnais); deetrèe jàk (Dene)	Steeped with Prince's pine and taken in consumption [Malecite: 65]. 
Cupressaceae, Tree		Above-ground parts: Tea used for cold or stomach ache [Dene: 100].
		Fruits: Inner bark and juice of berries used to treat ulcers [Mi'kmaq: 60]. Stewed and strained and the liquid given for cold, bladder problems, and as a diuretic [Mi'kmaq: 43]. Boiled and taken for chest pains, bad colds, coughs and congestion [Dene: 99]. Used to treat diabetes related symptoms [Cree: 82]. Tea drunk to ease back pain [Dene: 101].
		Roots: Decoction used in calculus, cystitis and Bright's disease [Mi'kmaq: 43]. Boiled with other plants to make a decoction drunk to treat menstrual cramps [Dene: 13]. Used to treat diabetes [Cree: 82].
		Leaves: Dried, powdered and dusted on psoriasis and eczema [Mi'kmaq: 43]. Used to treat diabetes [Cree: 82].
		Bark: Boiled until a jelly forms, used to treat boils [Algonquin: 75]. Mixed with another plant and soaked in warm water but not boiled, then the infusion can be drunk lukewarm to treat aches and pain [Cree: 13].
		Inner bark: Used in diabetes [Cree: 77]. Softened in water and used as a poultice on wounds [Metis: 13; Cree: 42].
		Twigs/stem: Tea given to ease bladder pain [Montagnais: 71]. Steeped and used in hair wash or taken as a tonic [Malecite: 65]. Stem debarked and used to make a tea to treat diarrhoea [Metis: 13]. Decoction of a barked procumbent stem or branch used to treat diarrhoea and sore chest. Mixed with other plants to make decoctions to treat "women troubles", teething pain, sickness after childbirth, fever, and cough [Cree: 95]. 
		Twigs and leaves: Boiled to make a drink for asthma [Chippewa: 85]. Used to treat diabetes [Cree: 82]. Boiled and steamed to hasten release of the placenta [Dene: 101]. 
		Cones: Green cones boiled to make a diuretic remedy for kidney trouble. Can be smoked in a pipe to treat asthma [Metis: 13]. Berry-like cones eaten as a cure-all medicine [Chipewyan: 92].
		Gum: Applied to wounds. Mixed with brandy and skunk cabbage and taken in tuberculosis. Applied to sprains, and to relieve soreness and pain [Mi'kmaq: 43].

Juniperus horizontalis Moench.	creeping juniper, rocky mountain juniper (Eng.); genévrier horizontal (Fr.); ahaseminanatik, masekesh, masikeskatik (Cree)	Stems: Boiled with other plants to make a tea for treating cold and teething, and for use as a general system cleaner [Cree: 13]. 
Cupressaceae, Shrub		Leaves: Burned and the smoke inhaled to clear sinuses plugged by a head cold [Metis: 13].
		Berries: Used for back pain, boiled and taken in urinary tract problems [Cree: 81]. Tea drunk to ease back pain [Dene: 101]. 
		Branches: Boiled and steamed to hasten release of the placenta [Dene: 101]. 

Juniperus virginiana L.	red cedar (Eng.); genévrier de Virginie (Fr.); miskwa'wak (Ojibwa)	Leaves and twigs: Used as a diuretic [Cree: 42]. 
Cupressaceae, Tree		Leaves and fruits: Bruised and used internally to treat headache [Ojibwa: 84]. 
		Twigs: Boiled with little twigs of Taxux canadensis and taken internally to treat rheumatism [Ojibwa: 47].
Kalmia angustifolia L.	lambkill, sheep laurel, (Eng.); kalmia à feuilles étroites, crevard de moutons (Fr.); mikwëwa'lwql (Malecite); wesajebo (Atikamekw); jabak (Abenaki); uschipikwh (Cree); uishetshipuk, uîshatshipukua (Innu)	Steeped in hot water and soaked in a woolen pad or rubbed on the limbs or body to relieve pain and stiffness [Montagnais: 70]. Used for head colds [Abenaki: 67]. Tea used for cold and as a tonic [Innu: 72]. Mixed with Sorbus americana in a compress used on cuts and wounds [Innu: 72]. 
